AT4T32P3 - Lakota - 5_5_411_50
 red=58418, ir=65811
time=20462, red=54202, ir=59394
time=20482, red=54185, ir=59408
time=20502, red=54193, ir=59398
time=20523, red=54206, ir=59424
time=20543, red=54198, ir=59426
time=20563, red=54197, ir=59437
time=20583, red=54199, ir=59433
time=20603, red=54199, ir=59450
time=20623, red=54206, ir=59443
time=20643, red=54217, ir=59466
time=20663, red=54197, ir=59491
time=20683, red=54213, ir=59488
time=20703, red=54196, ir=59484
time=20723, red=54203, ir=59474
time=20743, red=54204, ir=59480
time=20763, red=54193, ir=59482
time=20783, red=54206, ir=59470
time=20803, red=54173, ir=59451
time=20823, red=54178, ir=59448
time=20843, red=54174, ir=59429
time=20863, red=54167, ir=59396
time=20883, red=54158, ir=59375
time=20903, red=54137, ir=59348
time=20923, red=54140, ir=59332
time=20943, red=54124, ir=59311
time=20963, red=54140, ir=59288
time=20983, red=54129, ir=59261
time=21003, red=54116, ir=59217
time=21023, red=54116, ir=59221
time=21043, red=54110, ir=59194
time=21063, red=54114, ir=59193
time=21083, red=54129, ir=59189
time=21103, red=54120, ir=59181
time=21123, red=54116, ir=59162
time=21143, red=54133, ir=59159
time=21163, red=54129, ir=59149
time=21183, red=54141, ir=59161
time=21204, red=54171, ir=59182
time=21224, red=54170, ir=59172
time=21244, red=54172, ir=59187
time=21264, red=54187, ir=59172
time=21284, red=54192, ir=59191
time=21304, red=54197, ir=59195
time=21324, red=54186, ir=59207
time=21344, red=54193, ir=59200
time=21364, red=54198, ir=59272
time=21384, red=54199, ir=59277
time=21404, red=54211, ir=59295
time=21424, red=54203, ir=59288
time=21444, red=54202, ir=59292
time=21464, red=54213, ir=59304
time=21484, red=54207, ir=59298
time=21504, red=54205, ir=59307
time=21524, red=54218, ir=59315
time=21544, red=54222, ir=59341
time=21564, red=54216, ir=59329
time=21584, red=54201, ir=59322
time=21604, red=54210, ir=59323
time=21624, red=54217, ir=59323
time=21644, red=54212, ir=59326
time=21664, red=54210, ir=59321
time=21684, red=54205, ir=59315
time=21704, red=54205, ir=59349
time=21724, red=54208, ir=59347
time=21744, red=54215, ir=59353
time=21764, red=54213, ir=59346
time=21784, red=54228, ir=59369
time=21804, red=54236, ir=59384
time=21824, red=54228, ir=59380
time=21845, red=54232, ir=59382
time=21865, red=54225, ir=59389
time=21885, red=54226, ir=59399
time=21905, red=54240, ir=59411
time=21925, red=54236, ir=59427
time=21945, red=54222, ir=59413
time=21965, red=54241, ir=59423
time=21985, red=54234, ir=59409
time=22005, red=54237, ir=59422
HR=76, SP=91
time=22025, red=54237, ir=59432
time=22045, red=54237, ir=59447
time=22065, red=54251, ir=59430
time=22085, red=54255, ir=59459
time=22105, red=54246, ir=59463
time=22125, red=54263, ir=59455
time=22145, red=54248, ir=59462
time=22165, red=54246, ir=59467
time=22185, red=54253, ir=59474
time=22205, red=54257, ir=59463
time=22225, red=54239, ir=59477
time=22245, red=54247, ir=59472
time=22265, red=54265, ir=59493
time=22285, red=54265, ir=59488
time=22305, red=54260, ir=59487
time=22325, red=54265, ir=59496
time=22345, red=54251, ir=59476
time=22365, red=54246, ir=59471
time=22385, red=54240, ir=59470
time=22405, red=54248, ir=59443
time=22425, red=54237, ir=59428
time=22445, red=54222, ir=59415
time=22465, red=54208, ir=59377
time=22485, red=54201, ir=59357
time=22505, red=54194, ir=59337
time=22526, red=54190, ir=59310
time=22546, red=54186, ir=59277
time=22566, red=54194, ir=59248
time=22586, red=54172, ir=59225
time=22606, red=54171, ir=59214
time=22626, red=54180, ir=59186
time=22646, red=54191, ir=59165
time=22666, red=54196, ir=59159
time=22686, red=54204, ir=59128
time=22706, red=54195, ir=59126
time=22726, red=54197, ir=59128
time=22746, red=54208, ir=59115
time=22766, red=54234, ir=59113
time=22786, red=54232, ir=59113
time=22806, red=54248, ir=59134
time=22826, red=54262, ir=59125
time=22846, red=54258, ir=59117
time=22866, red=54281, ir=59119
time=22886, red=54263, ir=59136
time=22906, red=54299, ir=59158
time=22926, red=54303, ir=59150
time=22946, red=54306, ir=59153
time=22966, red=54314, ir=59168
time=22986, red=54316, ir=59156
time=23006, red=54330, ir=59159
time=23026, red=54319, ir=59155
time=23046, red=54324, ir=59158
time=23066, red=54331, ir=59175
time=23086, red=54332, ir=59169
time=23106, red=54329, ir=59166
time=23126, red=54344, ir=59166
time=23146, red=54335, ir=59184
time=23166, red=54345, ir=59179
time=23187, red=54358, ir=59198
time=23207, red=54354, ir=59195
time=23227, red=54351, ir=59186
time=23247, red=54372, ir=59205
time=23267, red=54347, ir=59195
time=23287, red=54354, ir=59200
time=23307, red=54364, ir=59214
time=23327, red=54382, ir=59222
time=23347, red=54378, ir=59223
time=23367, red=54386, ir=59233
time=23387, red=54388, ir=59233
time=23407, red=54378, ir=59243
time=23427, red=54389, ir=59261
time=23447, red=54384, ir=59276
time=23467, red=54391, ir=59265
time=23487, red=54389, ir=59283
time=23507, red=54405, ir=59275
time=23527, red=54395, ir=59287
time=23547, red=54396, ir=59294
time=23567, red=54393, ir=59290
time=23587, red=54411, ir=59298
time=23607, red=54397, ir=59298
time=23627, red=54401, ir=59323
time=23647, red=54413, ir=59333
time=23667, red=54401, ir=59331
time=23687, red=54395, ir=59333
time=23707, red=54416, ir=59332
time=23727, red=54414, ir=59335
time=23747, red=54415, ir=59351
time=23767, red=54432, ir=59352
time=23787, red=54404, ir=59367
time=23807, red=54416, ir=59366
time=23827, red=54422, ir=59375
time=23847, red=54431, ir=59380
time=23868, red=54428, ir=59382
time=23888, red=54421, ir=59383
time=23908, red=54401, ir=59370
time=23928, red=54416, ir=59355
time=23948, red=54397, ir=59340
time=23968, red=54366, ir=59312
