AT4T21P2 - Pris - 5_5_411_50, movement around 80k ms
time=23444, red=46920, ir=54387
time=23464, red=46925, ir=54385
time=23484, red=46937, ir=54386
time=23504, red=46939, ir=54381
time=23524, red=46921, ir=54380
time=23544, red=46910, ir=54390
time=23564, red=46909, ir=54369
time=23584, red=46906, ir=54363
time=23604, red=46924, ir=54348
time=23624, red=46904, ir=54349
time=23644, red=46877, ir=54323
time=23664, red=46892, ir=54298
time=23684, red=46880, ir=54278
time=23704, red=46872, ir=54256
time=23724, red=46880, ir=54236
time=23744, red=46874, ir=54235
time=23764, red=46859, ir=54218
time=23784, red=46855, ir=54204
time=23804, red=46877, ir=54197
time=23824, red=46860, ir=54190
time=23844, red=46867, ir=54183
time=23864, red=46872, ir=54185
time=23884, red=46873, ir=54195
time=23904, red=46886, ir=54182
time=23924, red=46881, ir=54176
time=23944, red=46877, ir=54183
time=23964, red=46884, ir=54198
HR=92, SP=79
time=23988, red=46895, ir=54213
time=24004, red=46897, ir=54212
time=24024, red=46896, ir=54209
time=24044, red=46912, ir=54218
time=24064, red=46904, ir=54219
time=24084, red=46897, ir=54223
time=24104, red=46901, ir=54230
time=24124, red=46911, ir=54225
time=24144, red=46910, ir=54226
time=24164, red=46905, ir=54240
time=24184, red=46897, ir=54238
time=24204, red=46906, ir=54230
time=24224, red=46905, ir=54226
time=24244, red=46904, ir=54222
time=24264, red=46907, ir=54235
time=24284, red=46912, ir=54241
time=24304, red=46908, ir=54242
time=24324, red=46910, ir=54237
time=24344, red=46914, ir=54254
time=24364, red=46902, ir=54254
time=24384, red=46904, ir=54265
time=24404, red=46907, ir=54267
time=24424, red=46910, ir=54268
time=24444, red=46916, ir=54271
time=24464, red=46907, ir=54288
time=24484, red=46912, ir=54297
time=24504, red=46925, ir=54294
time=24524, red=46906, ir=54299
time=24544, red=46912, ir=54302
time=24564, red=46923, ir=54327
time=24584, red=46913, ir=54309
time=24604, red=46923, ir=54319
time=24624, red=46937, ir=54323
time=24644, red=46915, ir=54332
time=24664, red=46926, ir=54340
time=24684, red=46919, ir=54317
time=24704, red=46926, ir=54344
time=24724, red=46927, ir=54344
time=24744, red=46920, ir=54364
time=24764, red=46912, ir=54361
time=24784, red=46926, ir=54354
time=24804, red=46913, ir=54356
time=24824, red=46911, ir=54347
time=24844, red=46901, ir=54348
time=24864, red=46896, ir=54317
time=24884, red=46895, ir=54303
time=24904, red=46889, ir=54284
time=24924, red=46886, ir=54269
time=24944, red=46866, ir=54247
time=24964, red=46861, ir=54232
time=24984, red=46850, ir=54190
time=25004, red=46854, ir=54168
time=25024, red=46850, ir=54169
time=25044, red=46851, ir=54167
time=25064, red=46838, ir=54121
time=25084, red=46844, ir=54124
time=25104, red=46846, ir=54109
time=25124, red=46855, ir=54108
time=25144, red=46848, ir=54081
time=25164, red=46852, ir=54098
time=25184, red=46854, ir=54103
time=25204, red=46854, ir=54092
time=25224, red=46852, ir=54106
time=25244, red=46861, ir=54103
time=25264, red=46879, ir=54115
time=25284, red=46870, ir=54128
time=25304, red=46876, ir=54126
time=25324, red=46878, ir=54149
time=25344, red=46885, ir=54162
time=25364, red=46889, ir=54178
time=25383, red=46890, ir=54168
time=25403, red=46903, ir=54179
time=25423, red=46895, ir=54191
time=25443, red=46906, ir=54191
time=25463, red=46907, ir=54206
time=25483, red=46921, ir=54206
time=25503, red=46906, ir=54206
time=25523, red=46906, ir=54206
time=25543, red=46901, ir=54208
time=25563, red=46908, ir=54208
time=25583, red=46902, ir=54209
time=25603, red=46900, ir=54206
time=25623, red=46919, ir=54216
time=25643, red=46903, ir=54228
time=25663, red=46898, ir=54223
time=25683, red=46902, ir=54234
time=25703, red=46901, ir=54245
time=25723, red=46904, ir=54259
time=25743, red=46910, ir=54264
time=25763, red=46911, ir=54265
time=25783, red=46896, ir=54290
time=25803, red=46918, ir=54293
time=25823, red=46909, ir=54288
time=25843, red=46912, ir=54297
time=25863, red=46908, ir=54303
time=25883, red=46906, ir=54304
time=25903, red=46917, ir=54324
time=25923, red=46912, ir=54301
time=25943, red=46908, ir=54314
time=25963, red=46915, ir=54329
HR=92, SP=85
time=25983, red=46912, ir=54337
time=26003, red=46907, ir=54343
time=26023, red=46911, ir=54322
time=26043, red=46897, ir=54346
time=26063, red=46908, ir=54340
time=26083, red=46912, ir=54333
time=26103, red=46913, ir=54321
time=26123, red=46878, ir=54308
time=26143, red=46887, ir=54300
time=26163, red=46879, ir=54276
time=26183, red=46882, ir=54265
time=26203, red=46855, ir=54249
time=26223, red=46871, ir=54222
time=26243, red=46868, ir=54200
time=26263, red=46862, ir=54186
time=26283, red=46832, ir=54162
time=26303, red=46846, ir=54163
time=26323, red=46856, ir=54144
time=26343, red=46847, ir=54131
time=26363, red=46842, ir=54119
time=26383, red=46856, ir=54117
time=26403, red=46857, ir=54128
time=26423, red=46850, ir=54101
time=26443, red=46851, ir=54109
time=26463, red=46877, ir=54117
time=26483, red=46872, ir=54130
time=26503, red=46871, ir=54131
time=26523, red=46885, ir=54136
time=26543, red=46880, ir=54145
time=26563, red=46887, ir=54161
time=26583, red=46897, ir=54174
time=26603, red=46900, ir=54182
