AT4T28P1 - Pris - 5_5_411_50, tongue movement approx 45k-55k ms
time=19476, red=52179, ir=58428
time=19496, red=52180, ir=58427
time=19516, red=52183, ir=58426
time=19536, red=52164, ir=58429
time=19556, red=52160, ir=58429
time=19576, red=52177, ir=58418
time=19596, red=52140, ir=58414
time=19616, red=52157, ir=58403
time=19636, red=52143, ir=58393
time=19656, red=52143, ir=58381
time=19676, red=52137, ir=58371
time=19696, red=52109, ir=58335
time=19716, red=52121, ir=58334
time=19736, red=52107, ir=58294
time=19756, red=52114, ir=58282
time=19776, red=52091, ir=58264
time=19796, red=52099, ir=58251
time=19816, red=52108, ir=58224
time=19836, red=52093, ir=58231
time=19856, red=52104, ir=58211
time=19876, red=52091, ir=58187
time=19896, red=52109, ir=58194
time=19916, red=52117, ir=58198
time=19936, red=52115, ir=58178
time=19956, red=52115, ir=58169
time=19976, red=52135, ir=58173
time=19996, red=52139, ir=58184
HR=105, SP=-1
time=20023, red=52165, ir=58195
time=20036, red=52153, ir=58185
time=20056, red=52175, ir=58193
time=20076, red=52170, ir=58225
time=20096, red=52184, ir=58216
time=20116, red=52198, ir=58231
time=20136, red=52176, ir=58237
time=20156, red=52187, ir=58227
time=20176, red=52185, ir=58223
time=20196, red=52188, ir=58222
time=20216, red=52177, ir=58239
time=20236, red=52193, ir=58227
time=20257, red=52187, ir=58212
time=20277, red=52194, ir=58233
time=20297, red=52186, ir=58219
time=20317, red=52197, ir=58221
time=20337, red=52198, ir=58225
time=20357, red=52200, ir=58222
time=20377, red=52186, ir=58221
time=20397, red=52201, ir=58234
time=20417, red=52219, ir=58227
time=20437, red=52202, ir=58231
time=20457, red=52202, ir=58242
time=20477, red=52190, ir=58237
time=20497, red=52205, ir=58229
time=20517, red=52214, ir=58249
time=20537, red=52211, ir=58232
time=20557, red=52220, ir=58245
time=20577, red=52206, ir=58248
time=20597, red=52195, ir=58240
time=20617, red=52227, ir=58248
time=20637, red=52206, ir=58274
time=20657, red=52202, ir=58262
time=20677, red=52213, ir=58281
time=20697, red=52221, ir=58288
time=20717, red=52219, ir=58272
time=20737, red=52224, ir=58285
time=20757, red=52212, ir=58297
time=20777, red=52225, ir=58272
time=20797, red=52210, ir=58288
